attributeName,attributeDefinition,formatString,definition,unit,numberType
stratum,,,,,
depth_m,,,,meter,
stratum_area_km2,,,,kilometeres squared,
longitude,,,,degrees,
latitude,,,,degrees,
year,,,,year; annual,
taxa_name,,,,scientific name (what standard),
weight_kg,,,,kilogram,
n_obs,,,,number of WHAT,
