Depth,Age,AchSp2,AchSub,AmpAcu,AmpSub,AmpGal3,AmpCar,AmpCof,AmpCoS,AmpMic,AmpPse,AmpSp7,AnoSph,CalSp2,CamCly,ChaSp1,Cra1,DipSp2,Falpse,FracSu,PseGeo,FraSop,FraSp5,FraSp1,FraS2b,FraSp4,FraSp6,PseDia,HyaHus,SynIsa,MasBra,MasLan,NavAtw,NavDar,NavLag,NavGal,NavIsm,NavWil,NavSp1,NavSp2,NavSp3,NavIsd,NavIsf,NitAmp,NitcVa,NitVit,NitCom,NitCon,NitFru,NitMic,NitNan,NitPal,NitSp7,ParSul,ParSp1,ParS1b,PlaAto,RhoSp5,SemPus,StaPun,UnkSp1,Ti,d13C
85,563.1304824,0,0.0059,0.1676,0.0235,0,0.1765,0.0088,0,0,0,0,0.0059,0,0.0059,0,0,0,0.0059,0,0,0,0,0,0,0,0,0,0.0059,0.0118,0,0,0,0.0176,0,0.3971,0,0,0,0,0.05,0,0,0.0147,0,0,0.0691,0.0132,0.0059,0,0,0,0,0,0,0,0,0,0,0,0,0.552368279,-10.95707061
89,591.8627541,0,0,0.2407,0.0123,0,0.0741,0,0,0,0,0,0.0123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0.4321,0,0,0,0,0.071,0,0,0.0154,0,0,0.037,0,0,0,0,0.0062,0,0,0,0,0,0,0.0247,0,0,0.390232212,-11.54776507
93,619.9498703,0,0,0.2917,0.0298,0,0.0982,0.0179,0,0,0,0,0.0179,0,0,0,0,0,0,0.0119,0,0,0,0,0,0,0,0,0.0089,0,0,0,0,0.0387,0,0.2976,0,0,0,0,0.0655,0,0,0,0,0,0.0565,0.0208,0,0,0,0.0119,0,0,0,0,0,0,0,0,0,0.303682968,-15.68133599
97,647.4065254,0,0,0.2322,0.0145,0,0.1364,0,0,0,0,0,0.0029,0,0.0058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058,0.0058,0,0.3687,0,0,0,0,0.0842,0,0,0,0,0,0.0987,0.0131,0,0,0,0,0,0,0,0,0,0,0.0116,0,0,0.233726277,-15.12881849
101,674.2474891,0,0,0.1574,0.0194,0,0.2324,0,0,0,0,0,0.0097,0,0.0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048,0,0,0,0.0121,0,0.4116,0,0,0,0,0.0218,0,0,0.0024,0,0,0.0412,0.0194,0.0048,0,0,0,0,0,0,0,0,0,0.0315,0,0,0.295690554,-15.31610982
105,700.4871142,0,0.0061,0.2385,0,0,0.1407,0,0,0.0214,0,0,0.0031,0,0.0122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061,0,0,0,0.0031,0,0.3333,0,0,0,0,0.0642,0,0,0,0,0,0.0979,0.0214,0.0061,0,0,0,0,0,0,0,0,0,0.0183,0,0,0.330915855,-14.71017747
109,726.1411369,0,0,0.258,0,0,0.2367,0.003,0,0.003,0,0,0,0,0.0182,0,0,0,0,0.0243,0,0,0,0,0,0,0,0,0.0121,0,0,0,0,0.0182,0,0.2307,0,0,0,0,0.0212,0,0,0,0,0,0.0455,0.041,0.0121,0.0061,0.0061,0,0,0,0,0,0,0,0.0182,0,0,0.511643225,-15.88468706
113,751.223125,0,0,0.2689,0.006,0,0.1782,0,0,0,0,0,0.0302,0,0.0423,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0.0604,0,0.2477,0,0,0,0,0.0181,0,0,0.0272,0,0,0.0242,0.006,0.006,0.006,0,0.006,0,0,0,0,0,0,0.0091,0,0,0.405798081,-14.52940439
117,775.7483161,0,0,0.2258,0.0352,0,0.0528,0.0117,0,0,0,0,0.0059,0,0.0176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117,0,0,0,0,0.0352,0,0.4839,0,0,0,0,0.0235,0,0,0.0117,0,0,0.0205,0,0,0.0059,0,0.0059,0,0,0,0,0,0,0.0293,0,0,0.358220437,-12.23731272
121,799.7314413,0,0,0.2271,0,0,0.1209,0.0059,0,0,0,0,0.0206,0,0.0206,0,0,0,0,0,0.0029,0,0,0,0,0,0,0,0.0059,0,0,0,0,0.0147,0,0.469,0,0,0,0,0.0059,0,0,0.0147,0,0,0.0236,0.0029,0,0,0,0.0059,0,0,0,0,0,0,0.0236,0,0,0.367231626,-13.48992737
125,823.1871982,0,0,0.3043,0.0058,0,0.0377,0.0087,0,0,0.0087,0,0.0319,0,0.0087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261,0,0.487,0,0,0,0,0.0174,0,0,0,0,0,0,0.0029,0.0058,0,0,0.0087,0,0,0,0,0,0,0,0.0087,0,0.660228906,-10.74568808
129,846.1302348,0,0,0.3,0,0,0.0361,0.0083,0.0139,0,0,0,0.025,0,0.0028,0,0,0,0,0.0028,0.0056,0,0,0,0,0,0,0,0,0,0,0,0,0.0222,0,0.4583,0,0,0,0,0.0056,0,0,0.0056,0,0,0.0222,0.0028,0.0111,0,0,0.0056,0,0,0,0,0,0,0.0278,0,0,0.478297341,-12.13022487
